"name","hex","red","green","blue"
purplish blue,#601ef9,96,30,249
yellowish green,#b0dd16,176,221,22
greenish yellow,#cdfd02,205,253,2
medium blue,#2c6fbb,44,111,187
dusty rose,#c0737a,192,115,122
light violet,#d6b4fc,214,180,252
midnight blue,#020035,2,0,53
bluish purple,#703be7,112,59,231
red orange,#fd3c06,253,60,6
dark magenta,#960056,150,0,86
greenish,#40a368,64,163,104
ocean blue,#03719c,3,113,156
coral,#fc5a50,252,90,80
cream,#ffffc2,255,255,194
reddish brown,#7f2b0a,127,43,10
burnt sienna,#b04e0f,176,78,15
brick,#a03623,160,54,35
sage,#87ae73,135,174,115
grey green,#789b73,120,155,115
white,#ffffff,255,255,255
robin's egg blue,#98eff9,152,239,249
moss green,#658b38,101,139,56
steel blue,#5a7d9a,90,125,154
eggplant,#380835,56,8,53
light yellow,#fffe7a,255,254,122
leaf green,#5ca904,92,169,4
light grey,#d8dcd6,216,220,214
puke,#a5a502,165,165,2
pinkish purple,#d648d7,214,72,215
sea blue,#047495,4,116,149
pale purple,#b790d4,183,144,212
slate blue,#5b7c99,91,124,153
blue grey,#607c8e,96,124,142
hunter green,#0b4008,11,64,8
fuchsia,#ed0dd9,237,13,217
crimson,#8c000f,140,0,15
pale yellow,#ffff84,255,255,132
ochre,#bf9005,191,144,5
mustard yellow,#d2bd0a,210,189,10
light red,#ff474c,255,71,76
cerulean,#0485d1,4,133,209
pale pink,#ffcfdc,255,207,220
deep blue,#040273,4,2,115
rust,#a83c09,168,60,9
light teal,#90e4c1,144,228,193
slate,#516572,81,101,114
goldenrod,#fac205,250,194,5
dark yellow,#d5b60a,213,182,10
dark grey,#363737,54,55,55
army green,#4b5d16,75,93,22
grey blue,#6b8ba4,107,139,164
seafoam,#80f9ad,128,249,173
puce,#a57e52,165,126,82
spring green,#a9f971,169,249,113
dark orange,#c65102,198,81,2
sand,#e2ca76,226,202,118
pastel green,#b0ff9d,176,255,157
mint,#9ffeb0,159,254,176
light orange,#fdaa48,253,170,72
bright pink,#fe01b1,254,1,177
chartreuse,#c1f80a,193,248,10
deep purple,#36013f,54,1,63
dark brown,#341c02,52,28,2
taupe,#b9a281,185,162,129
pea green,#8eab12,142,171,18
puke green,#9aae07,154,174,7
kelly green,#02ab2e,2,171,46
seafoam green,#7af9ab,122,249,171
blue green,#137e6d,19,126,109
khaki,#aaa662,170,166,98
burgundy,#610023,97,0,35
dark teal,#014d4e,1,77,78
brick red,#8f1402,143,20,2
royal purple,#4b006e,75,0,110
plum,#580f41,88,15,65
mint green,#8fff9f,143,255,159
gold,#dbb40c,219,180,12
baby blue,#a2cffe,162,207,254
yellow green,#c0fb2d,192,251,45
bright purple,#be03fd,190,3,253
dark red,#840000,132,0,0
pale blue,#d0fefe,208,254,254
grass green,#3f9b0b,63,155,11
navy,#01153e,1,21,62
aquamarine,#04d8b2,4,216,178
burnt orange,#c04e01,192,78,1
neon green,#0cff0c,12,255,12
bright blue,#0165fc,1,101,252
rose,#cf6275,207,98,117
light pink,#ffd1df,255,209,223
mustard,#ceb301,206,179,1
indigo,#380282,56,2,130
lime,#aaff32,170,255,50
sea green,#53fca1,83,252,161
periwinkle,#8e82fe,142,130,254
dark pink,#cb416b,203,65,107
olive green,#677a04,103,122,4
peach,#ffb07c,255,176,124
pale green,#c7fdb5,199,253,181
light brown,#ad8150,173,129,80
hot pink,#ff028d,255,2,141
black,#000000,0,0,0
lilac,#cea2fd,206,162,253
navy blue,#001146,0,17,70
royal blue,#0504aa,5,4,170
beige,#e6daa6,230,218,166
salmon,#ff796c,255,121,108
olive,#6e750e,110,117,14
maroon,#650021,101,0,33
bright green,#01ff07,1,255,7
dark purple,#35063e,53,6,62
mauve,#ae7181,174,113,129
forest green,#06470c,6,71,12
aqua,#13eac9,19,234,201
cyan,#00ffff,0,255,255
tan,#d1b26f,209,178,111
dark blue,#00035b,0,3,91
lavender,#c79fef,199,159,239
turquoise,#06c2ac,6,194,172
dark green,#033500,3,53,0
violet,#9a0eea,154,14,234
light purple,#bf77f6,191,119,246
lime green,#89fe05,137,254,5
grey,#929591,146,149,145
sky blue,#75bbfd,117,187,253
yellow,#ffff14,255,255,20
magenta,#c20078,194,0,120
light green,#96f97b,150,249,123
orange,#f97306,249,115,6
teal,#029386,2,147,134
light blue,#95d0fc,149,208,252
red,#e50000,229,0,0
brown,#653700,101,55,0
pink,#ff81c0,255,129,192
blue,#0343df,3,67,223
green,#15b01a,21,176,26
purple,#7e1e9c,126,30,156
